1 2 3 4 5 6 7 8 9 10 11 12 13 14 
1 2 3 4 14 13 12 11 10 9 8 7 6 5 
1 5 3 2 8 7 6 11 10 9 14 13 12 4 
1 5 3 12 13 14 9 10 11 6 7 4 2 8 
1 6 4 2 9 7 12 5 14 10 3 13 8 11 
1 6 4 11 8 13 3 14 10 12 2 5 7 9 
1 6 10 7 13 11 14 9 5 8 2 4 12 3 
1 7 8 14 11 4 3 5 13 9 12 2 6 10 
1 8 12 9 5 4 7 2 13 10 6 14 11 3 
1 9 11 13 2 12 7 14 8 5 3 10 4 6 
2 1 10 9 12 13 4 3 6 5 11 8 7 14 
2 5 4 9 1 12 8 11 6 14 7 13 3 10 
2 5 6 13 10 8 1 14 4 3 7 12 11 9 
2 6 5 14 11 12 9 3 7 10 8 4 13 1 
2 7 11 13 4 8 12 10 5 6 3 14 9 1 
2 8 14 10 13 7 5 1 9 11 3 6 4 12 
2 11 7 6 3 12 8 1 13 9 4 14 5 10 
3 1 14 7 10 5 4 6 12 9 8 13 2 11 
3 5 4 10 13 7 11 2 14 1 12 6 8 9 
3 6 14 8 5 2 12 11 13 4 1 7 9 10 
3 7 9 8 12 4 11 14 6 10 1 5 2 13 
3 9 11 8 2 10 6 4 7 13 5 12 1 14 
4 2 13 14 6 9 8 3 11 5 1 12 10 7 
4 5 11 10 14 2 8 12 1 9 6 13 7 3 
4 10 12 7 8 9 1 3 14 13 5 6 11 2 
5 9 13 7 6 12 3 4 1 10 14 11 8 2 
6 12 8 10 14 7 3 2 4 9 5 11 1 13 
7 13 6 9 10 1 12 2 11 3 8 5 14 4 
9 10 5 14 8 13 3 11 7 12 2 6 1 4 
9 14 4 12 6 13 1 11 2 10 5 3 7 8 
12 10 3 11 13 1 5 9 2 4 8 14 6 7 
13 10 4 7 3 9 6 14 2 1 8 11 12 5 
