1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
1 2 3 4 15 14 13 12 11 10 9 8 7 6 5 
1 5 7 6 11 10 9 8 15 4 2 14 13 12 3 
1 5 7 13 15 3 12 9 14 11 6 2 4 8 10 
1 5 12 4 10 3 2 13 15 8 6 11 7 14 9 
1 6 7 14 12 5 15 13 10 4 11 8 9 3 2 
1 8 6 4 13 3 14 9 10 15 5 12 7 2 11 
1 8 9 12 11 15 14 2 7 10 5 3 6 4 13 
1 10 11 14 6 15 3 8 13 5 2 9 4 7 12 
2 1 9 13 8 10 7 14 3 15 11 12 4 5 6 
2 5 1 11 13 4 9 12 3 7 6 15 10 14 8 
2 5 8 14 15 10 9 13 6 3 7 4 12 11 1 
2 6 10 12 15 7 11 3 9 1 5 14 13 8 4 
2 7 12 10 6 14 13 9 5 4 3 1 8 11 15 
2 9 14 8 4 11 6 5 15 12 7 13 1 3 10 
3 5 10 14 4 8 7 1 12 2 9 6 15 13 11 
3 6 2 12 8 13 11 1 15 4 9 14 5 10 7 
3 7 11 6 13 8 12 2 10 4 5 15 1 14 9 
3 9 15 4 10 7 5 13 11 14 2 6 1 12 8 
4 8 5 2 11 14 3 10 12 1 7 15 13 6 9 
4 9 6 11 13 7 12 15 5 2 3 8 14 1 10 
4 12 14 11 7 8 3 13 5 9 15 6 10 1 2 
8 12 9 7 1 13 4 6 2 5 14 11 10 3 15 
10 15 9 11 2 8 4 1 3 12 13 6 14 7 5 
13 11 4 15 7 10 2 1 6 8 9 3 5 14 12 
13 11 9 10 12 5 8 6 1 14 3 4 2 15 7 
