1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 
1 2 3 4 16 15 14 13 12 11 10 9 8 7 6 5 
1 5 8 7 6 12 11 10 9 16 4 2 15 14 13 3 
1 5 9 7 14 16 3 13 10 15 12 2 6 4 8 11 
1 5 13 15 10 11 8 4 3 16 9 6 14 7 2 12 
1 6 8 15 13 5 16 14 4 11 12 3 2 7 9 10 
1 9 12 11 15 6 3 2 16 10 5 13 7 14 8 4 
1 10 12 14 7 9 8 13 3 11 5 2 4 6 16 15 
2 1 16 11 7 5 4 3 12 14 15 8 10 6 13 9 
2 5 13 14 9 12 4 16 1 7 11 6 8 15 10 3 
2 6 10 7 13 16 12 9 5 15 3 8 4 14 11 1 
2 7 10 8 6 16 1 14 3 15 5 11 9 13 4 12 
2 11 15 12 16 4 13 8 9 14 3 5 6 10 1 7 
3 2 9 8 15 10 14 6 4 7 5 12 1 16 13 11 
3 6 11 14 12 5 16 15 9 7 1 4 10 8 13 2 
3 8 12 7 14 4 2 11 13 16 6 1 5 10 15 9 
4 3 10 13 8 5 11 7 15 1 16 2 12 14 9 6 
4 9 14 7 15 6 11 1 13 8 12 2 5 3 10 16 
8 11 14 10 13 7 2 1 6 3 9 15 12 4 16 5 
10 15 4 11 6 5 2 14 9 8 16 3 12 7 13 1 
15 16 7 12 13 1 6 10 3 14 5 4 9 2 11 8 
