1 2 3 4 5 6 7 8 9 10 11 12 13 
1 2 3 4 13 12 11 10 9 8 7 6 5 
1 2 7 6 5 10 9 8 13 4 12 11 3 
1 2 8 6 11 13 9 5 7 3 12 4 10 
1 3 2 9 12 7 13 10 11 5 4 6 8 
1 3 10 7 5 11 2 13 8 12 6 4 9 
1 4 3 8 7 12 9 2 5 6 13 11 10 
1 4 9 8 3 11 5 10 13 2 6 12 7 
1 5 4 10 11 7 6 3 13 9 12 2 8 
1 5 6 12 10 13 8 3 7 2 11 9 4 
1 6 11 10 12 4 2 5 3 9 13 7 8 
1 8 9 13 10 12 6 7 4 3 5 2 11 
1 13 8 5 11 4 12 2 7 9 10 3 6 
2 1 7 11 9 6 12 3 8 10 4 13 5 
2 3 10 12 6 8 5 1 13 11 7 9 4 
2 4 9 10 13 7 8 1 5 3 12 6 11 
2 5 4 11 1 12 8 13 3 9 6 10 7 
2 5 8 7 11 4 3 13 10 6 12 9 1 
2 8 12 5 10 9 3 11 6 4 1 7 13 
2 12 13 6 9 4 3 7 1 11 8 5 10 
3 4 9 6 5 2 11 8 1 7 13 12 10 
3 5 9 7 12 1 4 10 8 13 6 11 2 
3 6 4 11 13 2 7 5 10 12 1 8 9 
3 6 12 8 2 13 4 1 10 9 5 7 11 
3 8 7 10 13 2 9 1 4 11 12 6 5 
3 13 11 6 9 10 5 7 8 4 12 2 1 
4 5 12 6 13 10 1 9 11 7 8 2 3 
4 6 8 12 7 11 1 2 10 13 5 9 3 
4 7 13 10 5 3 8 1 2 11 9 6 12 
5 6 9 2 1 11 13 10 3 4 8 12 7 
5 13 7 12 9 2 8 3 10 4 11 1 6 
6 7 3 12 11 5 8 9 13 10 1 2 4 
7 4 11 8 10 6 2 1 9 3 5 12 13 
7 9 11 4 12 5 2 13 1 6 3 10 8 
8 10 4 1 13 7 12 11 5 6 2 3 9 
9 8 7 6 3 4 2 12 10 5 1 11 13 
9 10 11 3 1 12 7 8 2 6 5 4 13 
10 8 9 13 5 11 2 4 6 3 7 1 12 
12 11 7 9 1 3 6 5 13 4 8 2 10 
13 11 8 3 2 12 1 4 5 7 6 10 9 
