1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1 2 3 4 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5
1 7 6 5 11 10 9 8 15 14 13 12 19 3 2 18 17 16 4
1 8 6 5 16 17 19 12 14 10 4 18 2 7 3 13 15 9 11
1 9 16 11 6 18 19 13 8 17 5 3 7 4 12 15 2 10 14
1 12 15 18 10 11 7 19 14 9 5 6 17 2 13 4 16 3 8
2 7 13 11 17 16 19 18 6 10 12 15 5 4 8 9 3 14 1
2 9 14 17 8 19 11 7 1 16 4 10 13 3 5 6 18 15 12
2 14 15 12 13 6 9 1 18 16 5 7 3 10 19 8 4 17 11
3 8 13 7 5 2 18 12 11 19 4 6 16 1 14 17 9 15 10
3 10 17 18 9 7 5 14 1 15 4 19 8 12 16 2 6 11 13
4 3 12 14 16 9 13 8 2 10 1 19 15 5 11 18 17 6 7
5 13 19 15 9 4 7 17 10 18 1 14 11 3 16 12 6 8 2
10 6 4 15 16 8 14 3 7 11 5 9 19 17 1 18 13 2 12
