1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1 2 3 4 5 15 14 13 12 11 10 9 8 7 6
1 2 6 4 3 9 8 7 12 11 10 15 14 13 5
1 2 6 4 13 14 15 10 11 12 7 8 5 3 9
1 2 7 5 3 10 8 13 6 15 11 4 14 9 12
1 2 7 5 12 9 14 4 15 11 13 3 6 8 10
1 2 7 11 8 14 12 15 10 6 9 3 5 13 4
1 2 8 9 15 12 5 4 6 14 10 13 3 7 11
1 2 9 13 10 6 5 8 3 14 11 7 15 12 4
1 2 10 12 14 3 13 8 15 9 6 4 11 5 7
1 3 2 11 10 13 14 5 4 7 6 12 9 8 15
1 3 6 5 10 2 13 9 12 7 15 8 14 4 11
1 3 6 7 14 11 9 2 15 5 4 8 13 12 10
1 3 7 6 15 12 13 10 4 8 11 9 5 14 2
1 3 8 12 14 5 9 13 11 6 7 4 15 10 2
1 3 9 15 11 14 8 6 2 10 12 4 7 5 13
1 3 12 8 7 4 13 9 2 14 10 5 15 6 11
1 4 2 15 8 11 6 5 7 13 10 9 14 3 12
1 4 6 5 11 14 8 12 3 15 2 13 7 9 10
1 4 7 15 9 6 3 13 12 14 5 2 8 10 11
1 4 8 10 9 13 5 12 15 7 11 2 6 3 14
1 4 10 12 9 3 11 7 5 8 14 6 13 2 15
1 5 3 14 15 7 10 9 4 12 6 2 13 11 8
1 5 6 12 11 15 3 9 13 2 10 7 14 8 4
1 5 11 13 8 9 10 2 4 15 14 6 7 12 3
1 6 10 14 8 7 13 4 5 2 11 15 12 9 3
1 7 13 9 11 15 8 4 3 5 10 6 12 2 14
1 8 14 7 10 11 2 13 3 12 4 9 6 15 5
1 10 11 6 15 9 14 4 12 8 13 3 7 2 5
1 10 15 5 13 7 14 2 12 3 11 6 4 8 9
1 13 11 4 12 14 2 6 10 3 5 9 15 7 8
1 14 11 5 8 4 10 7 15 3 2 9 12 13 6
2 1 9 12 10 11 7 3 6 8 5 4 15 13 14
2 1 12 13 15 5 14 7 8 6 11 9 4 10 3
2 3 1 11 14 15 4 9 10 13 8 12 5 6 7
2 3 7 13 6 10 14 12 5 11 8 9 4 1 15
2 3 9 6 11 13 4 12 15 7 5 10 14 1 8
2 3 12 15 8 10 1 13 7 14 9 11 4 6 5
2 4 6 9 7 14 5 13 1 10 15 8 12 11 3
2 4 6 11 15 5 9 12 3 8 1 14 10 7 13
2 4 8 13 6 12 14 7 9 15 1 3 5 11 10
2 5 4 10 14 9 11 6 15 13 8 7 3 1 12
2 5 7 11 4 3 13 15 1 12 9 6 10 8 14
2 5 8 13 10 3 4 7 12 1 15 6 9 14 11
2 5 11 9 7 1 13 12 4 14 8 3 10 6 15
2 7 15 9 10 3 4 11 14 8 6 13 5 12 1
2 8 10 13 11 3 9 5 14 15 1 6 7 4 12
2 10 15 8 4 3 12 14 7 11 5 1 9 6 13
2 12 11 14 6 1 13 5 10 15 3 8 7 4 9
2 14 6 12 8 11 1 4 9 5 13 7 3 15 10
3 2 12 6 9 10 1 15 4 5 7 13 11 8 14
3 4 1 11 8 13 7 12 6 5 14 10 15 9 2
3 4 7 10 8 15 1 5 12 2 14 6 11 13 9
3 4 8 11 2 9 14 15 12 7 13 10 6 1 5
3 4 13 10 2 11 1 15 6 8 14 9 5 12 7
3 5 6 8 12 15 7 2 1 4 11 14 10 9 13
3 5 7 13 15 14 6 9 8 11 10 1 4 2 12
3 5 9 14 10 7 12 8 2 15 11 6 13 4 1
3 6 9 13 5 1 12 2 8 11 4 10 14 15 7
3 8 14 6 13 15 2 9 5 4 7 1 10 11 12
3 10 7 4 11 12 1 5 13 2 9 6 15 14 8
3 13 11 5 15 7 8 12 9 14 1 2 10 4 6
4 2 14 13 9 3 1 7 15 11 5 6 12 10 8
4 3 9 8 15 10 5 13 6 14 11 12 2 1 7
4 5 3 2 11 12 10 8 9 6 7 14 15 1 13
4 5 7 11 6 14 10 13 2 3 9 12 1 8 15
4 5 10 12 6 8 13 1 11 7 9 3 15 2 14
4 6 7 12 13 8 2 5 15 3 10 14 1 9 11
4 8 12 6 3 9 1 13 10 2 14 7 11 5 15
4 9 14 12 15 1 6 5 3 10 11 13 8 7 2
4 10 14 15 6 2 7 12 1 11 3 9 8 13 5
4 12 15 10 2 14 8 3 5 11 7 9 13 1 6
4 13 8 11 10 7 1 14 12 2 15 5 9 3 6
4 15 12 7 6 9 11 2 10 13 5 14 8 1 3
5 3 14 9 8 1 12 7 10 11 13 15 2 6 4
5 4 15 12 14 7 10 3 1 8 13 11 6 2 9
5 6 3 2 15 13 4 9 1 14 11 7 8 10 12
5 6 8 9 13 15 14 4 3 12 10 11 2 7 1
5 6 10 15 8 11 2 14 1 3 7 12 13 9 4
5 9 11 7 6 12 10 1 3 14 2 4 13 15 8
5 12 10 4 9 13 1 14 6 8 15 2 3 7 11
5 13 7 9 4 8 2 6 1 15 10 3 12 11 14
6 4 15 11 9 3 10 5 1 8 2 12 13 7 14
6 7 2 10 9 1 8 15 11 13 12 3 14 5 4
6 7 14 10 5 11 3 4 12 15 9 13 8 1 2
6 8 10 15 12 2 9 13 11 4 1 7 14 5 3
6 11 5 4 13 8 14 9 3 7 2 10 12 15 1
6 11 14 10 7 2 8 1 9 4 3 13 15 5 12
6 12 14 13 9 7 11 3 8 10 5 2 1 15 4
7 5 15 13 2 8 14 11 12 4 6 3 1 10 9
