1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1 2 3 4 5 16 15 14 13 12 11 10 9 8 7 6
1 2 6 8 7 12 11 10 9 16 5 3 15 14 13 4
1 2 6 8 14 16 4 13 10 15 12 7 3 5 9 11
1 2 6 13 5 11 4 3 14 16 9 7 12 8 15 10
1 2 7 8 15 13 6 16 14 11 5 12 9 10 4 3
1 2 9 7 5 14 4 15 10 11 16 6 13 8 3 12
1 2 9 10 13 12 16 15 3 8 11 6 4 7 5 14
1 2 11 12 15 7 16 4 9 14 6 3 10 5 8 13
1 3 2 10 14 9 11 8 15 4 16 12 13 5 6 7
1 3 6 2 12 14 5 10 13 4 8 7 16 11 15 9
1 3 6 9 15 16 11 10 14 7 4 8 5 13 12 2
1 3 7 11 13 16 8 12 4 10 2 6 15 14 9 5
1 3 8 13 11 7 15 14 10 6 5 4 2 9 12 16
1 3 10 15 9 5 12 7 6 16 13 8 14 2 4 11
1 4 6 11 15 5 9 8 2 13 3 10 7 16 14 12
1 4 7 3 13 9 14 12 2 16 5 10 15 6 11 8
1 4 8 12 7 14 9 13 3 11 5 6 16 2 15 10
1 4 10 16 5 11 8 6 14 12 15 3 7 2 13 9
1 5 9 6 3 12 15 4 11 13 2 8 16 14 7 10
1 5 10 7 12 14 8 13 16 6 3 4 9 15 2 11
1 5 13 15 12 8 9 4 14 6 10 16 7 11 2 3
1 9 13 10 8 2 14 5 7 3 6 15 12 11 4 16
1 11 16 10 12 3 9 5 2 4 13 14 7 15 8 6
1 14 12 5 16 8 11 3 2 7 9 10 4 6 15 13
1 14 12 10 11 13 6 9 7 2 15 4 5 3 16 8
2 1 11 8 10 13 4 5 9 15 16 7 6 12 14 3
2 1 15 16 14 8 9 3 7 12 13 6 5 11 4 10
2 3 8 16 7 6 1 9 14 15 12 4 10 13 11 5
2 3 9 12 8 14 6 11 13 16 10 1 5 7 4 15
2 3 12 7 13 15 10 4 14 16 8 5 1 9 11 6
2 4 7 14 6 11 10 15 3 13 12 8 9 5 1 16
2 4 9 15 8 5 12 3 10 6 14 16 11 7 1 13
2 4 11 13 14 3 1 7 10 9 6 8 12 16 15 5
2 5 12 13 9 11 8 1 6 15 7 3 14 10 16 4
2 5 16 10 8 3 15 6 9 13 7 4 11 14 12 1
2 7 15 11 14 1 4 12 5 3 8 16 10 13 6 9
2 10 16 7 5 13 11 9 3 4 12 14 6 15 1 8
3 4 6 10 16 9 1 13 7 12 15 2 5 14 8 11
3 4 8 12 1 16 11 6 5 13 9 10 15 14 2 7
3 4 11 7 16 5 12 14 2 8 9 15 6 1 13 10
3 5 4 9 14 15 7 13 1 6 8 11 10 2 16 12
3 5 10 11 2 14 1 12 6 16 4 15 8 9 13 7
3 5 13 8 15 16 10 9 6 12 1 2 11 4 7 14
3 6 13 10 7 5 2 15 11 8 1 16 12 9 14 4
3 7 14 9 16 2 13 6 4 10 5 12 11 1 15 8
3 8 12 9 4 15 7 2 5 11 16 1 10 13 14 6
3 15 14 8 2 11 5 16 4 6 12 7 13 10 9 1
4 2 13 14 15 6 9 5 16 1 3 8 12 10 7 11
4 2 16 12 15 8 13 1 14 7 10 5 6 11 3 9
4 3 15 11 12 6 2 1 10 5 7 9 14 13 16 8
4 5 7 15 3 2 16 9 8 11 6 14 10 13 1 12
4 5 14 10 7 6 1 16 2 12 9 3 13 11 8 15
4 6 10 14 8 11 13 16 2 7 5 1 15 9 12 3
4 6 15 12 13 11 9 16 7 14 10 8 3 2 1 5
4 9 16 13 2 8 15 10 11 1 3 5 14 6 7 12
4 12 8 10 7 16 3 15 1 9 6 11 2 13 14 5
5 6 7 4 13 12 3 10 16 1 14 2 11 9 15 8
5 6 8 11 15 4 7 1 10 14 3 12 16 13 9 2
5 6 14 9 2 8 12 7 16 10 13 15 11 3 1 4
5 7 11 9 15 10 8 16 2 4 3 1 13 12 6 14
5 9 13 16 11 12 7 2 1 14 3 8 4 10 15 6
5 15 12 16 3 14 11 13 4 1 7 8 6 2 9 10
6 5 14 7 3 10 8 4 12 2 15 13 1 9 16 11
6 5 16 15 13 14 2 3 9 1 10 11 12 7 4 8
6 7 9 12 4 15 8 14 1 3 13 5 10 11 2 16
6 9 11 14 12 13 10 3 5 16 8 15 4 1 7 2
6 13 16 4 11 1 8 9 5 15 3 2 12 7 10 14
6 16 15 10 5 2 7 12 1 8 4 3 11 14 9 13
7 8 9 3 10 1 16 14 13 4 6 15 11 12 5 2
7 8 11 10 9 14 2 12 1 15 5 6 4 13 16 3
7 10 6 12 4 2 16 11 3 5 9 1 14 8 13 15
7 11 16 6 13 12 15 5 1 10 9 3 4 8 14 2
8 9 11 15 13 1 12 4 5 14 2 7 16 3 6 10
8 9 14 16 5 10 4 3 11 7 13 2 6 12 15 1
8 10 13 12 6 5 3 7 11 14 15 16 9 1 4 2
8 14 13 15 2 9 6 11 3 7 4 1 16 5 10 12
9 11 6 4 16 3 8 14 1 2 10 7 15 5 12 13
10 8 12 13 14 1 11 2 4 3 15 6 16 7 9 5
10 14 15 13 8 1 5 4 7 2 11 12 6 9 3 16
11 12 16 9 5 15 13 6 8 7 14 4 2 10 1 3
11 15 9 10 3 6 1 14 16 12 2 8 5 13 7 4
13 9 8 6 2 10 4 5 1 14 11 12 16 3 15 7
13 16 12 14 6 15 4 3 2 11 5 10 7 8 1 9
15 11 8 7 4 13 3 9 10 2 5 12 14 1 16 6
16 14 9 12 4 7 1 11 6 10 2 8 3 5 15 13
