1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1 2 3 4 5 17 16 15 14 13 12 11 10 9 8 7 6
1 2 6 9 8 7 13 12 11 10 17 5 3 16 15 14 4
1 2 6 10 8 15 17 4 14 11 16 13 3 7 5 9 12
1 2 6 14 16 11 12 9 5 4 17 10 7 15 8 3 13
1 2 7 9 16 14 6 17 15 5 12 13 4 3 8 10 11
1 2 10 13 12 16 7 4 3 17 11 6 14 8 15 9 5
1 2 11 13 15 8 10 9 14 4 12 6 3 5 7 17 16
1 3 2 17 12 8 6 5 4 13 15 16 9 11 7 14 10
1 3 6 14 15 10 13 5 17 2 8 12 7 9 16 11 4
1 3 7 11 8 14 17 13 10 6 16 4 9 5 15 12 2
1 3 8 11 9 7 17 2 15 4 16 6 12 10 14 5 13
1 3 12 16 13 17 5 14 9 10 15 4 6 7 11 2 8
1 4 3 10 9 16 11 15 7 5 8 6 13 2 17 14 12
1 4 7 12 15 13 6 17 16 10 8 2 5 11 9 14 3
1 4 9 13 8 15 5 3 12 14 17 7 2 6 11 16 10
1 5 4 11 14 9 6 12 8 16 2 17 3 13 15 10 7
1 5 10 15 8 16 7 12 2 14 9 13 3 6 4 11 17
1 9 12 15 11 14 8 3 2 7 4 10 16 13 5 17 6
1 11 16 5 12 7 6 3 15 10 9 17 4 13 8 14 2
1 16 17 8 13 14 2 7 11 4 15 6 5 10 3 12 9
2 1 10 14 5 13 15 11 17 6 9 7 3 12 4 16 8
2 1 17 7 5 16 8 3 4 10 9 12 6 15 14 11 13
2 3 11 15 16 17 10 7 1 12 13 8 4 5 14 6 9
2 3 13 9 14 8 16 5 10 6 12 1 17 11 4 15 7
2 4 7 14 15 10 17 3 9 6 13 11 1 8 16 12 5
2 4 12 9 3 8 14 1 13 16 6 10 7 15 11 5 17
2 5 12 4 8 11 15 13 17 1 7 9 10 16 6 3 14
2 5 14 9 3 15 7 6 17 16 8 1 11 10 4 13 12
2 9 15 12 10 11 16 6 4 5 8 14 3 17 13 7 1
3 4 6 13 10 14 9 2 17 12 11 16 1 5 7 8 15
3 4 10 8 15 2 6 16 9 14 12 7 17 13 5 1 11
3 4 12 14 11 2 7 10 6 15 8 1 17 5 13 9 16
3 5 7 13 6 11 4 2 1 16 12 17 15 14 8 9 10
3 7 12 10 5 9 1 14 11 13 4 17 8 16 2 15 6
3 7 14 15 9 16 5 2 4 11 13 12 6 10 8 17 1
3 16 8 12 15 17 9 11 1 6 5 2 10 13 14 7 4
4 2 17 8 9 5 7 10 14 16 13 11 15 12 1 3 6
4 3 11 10 17 13 12 7 15 14 2 5 1 16 9 6 8
4 5 8 7 16 1 14 17 6 10 12 9 11 3 2 15 13
4 5 11 13 3 16 9 10 17 2 8 14 6 15 1 7 12
4 5 15 12 16 3 6 1 2 7 13 9 8 17 14 11 10
4 6 17 9 14 10 1 5 15 3 16 12 8 11 13 2 7
4 8 17 13 14 11 12 5 6 2 9 16 15 7 3 1 10
5 6 2 13 14 4 10 16 11 8 7 1 3 9 15 12 17
5 6 10 3 13 7 12 17 11 9 15 8 2 4 14 16 1
5 8 6 17 11 12 3 10 7 16 14 13 1 15 4 2 9
5 9 7 17 14 4 3 2 12 1 13 10 6 8 11 15 16
5 12 17 10 13 2 8 3 9 4 7 1 15 11 6 16 14
6 5 12 1 16 15 9 7 10 14 2 11 3 17 8 13 4
6 7 3 11 1 16 9 4 2 5 14 10 13 8 17 12 15
6 7 4 15 1 14 3 8 12 5 10 2 16 17 11 13 9
6 8 9 13 16 3 17 10 4 12 15 5 1 2 7 11 14
6 11 8 17 15 7 9 2 12 1 14 4 13 16 5 10 3
6 13 15 7 8 16 5 11 4 9 17 3 1 10 14 2 12
7 8 10 11 5 15 2 3 14 6 17 4 12 9 1 16 13
7 9 13 17 11 6 14 12 2 5 15 16 10 1 3 4 8
7 10 16 15 13 14 1 9 12 8 11 17 6 4 2 3 5
8 10 17 16 15 6 3 2 11 13 9 1 5 4 7 12 14
8 12 13 9 6 11 15 14 10 16 2 4 1 7 17 3 5
9 8 10 12 4 7 6 2 16 5 17 1 13 3 14 15 11
9 11 17 10 5 4 13 16 14 7 8 1 2 6 12 15 3
10 11 14 7 13 16 12 3 8 6 17 5 2 1 9 4 15
12 14 15 17 6 4 8 10 3 11 5 16 1 9 7 13 2
12 17 15 14 16 13 7 6 9 5 3 11 8 4 2 10 1
14 12 8 7 13 4 5 9 11 1 2 6 3 17 10 15 16
16 10 11 6 1 7 4 15 17 9 12 3 13 2 14 5 8
16 14 11 10 8 5 4 2 3 15 1 9 13 17 12 6 7
